"group" "RNA" "protein_synthesis"
"B" 4.834688 0.03319391
"B" 4.401084 0.04324861
"B" 4.444444 0.04803656
"B" 4.422764 0.0533033
"B" 4.769648 0.04755776
"B" 5.02981 0.04276981
"B" 4.834688 0.03271511
"B" 5.116531 0.04564258
"B" 5.268293 0.0437274
"B" 6.00542 0.0638368
"B" 7.913279 0.0638368
"B" 7.934959 0.07580667
"B" 8.238482 0.07628547
"B" 8.086721 0.08921294
"B" 8.390244 0.08538258
"B" 8.585366 0.08825535
"B" 9.192412 0.0925645
"B" 9.300813 0.08442499
"B" 9.322493 0.07820065
"B" 9.149051 0.06479439
"B" 9.907859 0.07724306
"B" 9.95122 0.08059463
"B" 10.189702 0.09495848
"B" 10.211382 0.10214041
"B" 10.514905 0.09112812
"B" 10.753388 0.09352209
"B" 10.775068 0.09064932
"B" 11.078591 0.08777655
"B" 11.338753 0.11171631
"A" 5.00813 0.05761246
"A" 5.701897 0.06048523
"A" 5.528455 0.063358
"A" 5.073171 0.06527318
"A" 4.661247 0.06623077
"A" 4.552846 0.06814595
"A" 4.336043 0.07820065
"A" 4.834688 0.09639486
"A" 5.138211 0.09495848
"A" 5.376694 0.08777655
"A" 6.352304 0.11171631
"A" 6.937669 0.08490378
"A" 7.544715 0.10022523
"A" 8.672087 0.11123751
"A" 10.796748 0.11602546
"A" 11.252033 0.12608016
"A" 11.880759 0.13805004
"A" 11.902439 0.1418804
"A" 10.601626 0.13900763
"A" 10.926829 0.14523197
"A" 12.596206 0.16773534
"A" 13.788618 0.19359027
"A" 10.97019 0.21130569
