"participant","sex","include","time","sets","leg","exercise","load"
"FP13","male","incl","pre","single","R","legpress",115
"FP13","male","incl","pre","multiple","L","legpress",115
"FP13","male","incl","pre","single","R","legext",55
"FP13","male","incl","pre","multiple","L","legext",55
"FP13","male","incl","session1","single","R","legpress",125
"FP13","male","incl","session1","multiple","L","legpress",125
"FP13","male","incl","session1","single","R","legext",55
"FP13","male","incl","session1","multiple","L","legext",55
"FP13","male","incl","week2","single","R","legpress",185
"FP13","male","incl","week2","multiple","L","legpress",175
"FP13","male","incl","week2","single","R","legext",65
"FP13","male","incl","week2","multiple","L","legext",60
"FP13","male","incl","week5","single","R","legpress",215
"FP13","male","incl","week5","multiple","L","legpress",210
"FP13","male","incl","week5","single","R","legext",82.5
"FP13","male","incl","week5","multiple","L","legext",77.5
"FP13","male","incl","week9","single","R","legpress",215
"FP13","male","incl","week9","multiple","L","legpress",225
"FP13","male","incl","week9","single","R","legext",92.5
"FP13","male","incl","week9","multiple","L","legext",92.5
"FP13","male","incl","post","single","R","legpress",230
"FP13","male","incl","post","multiple","L","legpress",235
"FP13","male","incl","post","single","R","legext",97.5
"FP13","male","incl","post","multiple","L","legext",100
"FP1","male","excl","pre","single","R","legpress",137.5
"FP1","male","excl","pre","multiple","L","legpress",137.5
"FP1","male","excl","pre","single","R","legext",55
"FP1","male","excl","pre","multiple","L","legext",55
"FP1","male","excl","session1","single","R","legpress",175
"FP1","male","excl","session1","multiple","L","legpress",165
"FP1","male","excl","session1","single","R","legext",65
"FP1","male","excl","session1","multiple","L","legext",60
"FP1","male","excl","week2","single","R","legpress",190
"FP1","male","excl","week2","multiple","L","legpress",185
"FP1","male","excl","week2","single","R","legext",80
"FP1","male","excl","week2","multiple","L","legext",75
"FP1","male","excl","week5","single","R","legpress",200
"FP1","male","excl","week5","multiple","L","legpress",200
"FP1","male","excl","week5","single","R","legext",82.5
"FP1","male","excl","week5","multiple","L","legext",85
"FP1","male","excl","week9","single","R","legpress",NA
"FP1","male","excl","week9","multiple","L","legpress",NA
"FP1","male","excl","week9","single","R","legext",85
"FP1","male","excl","week9","multiple","L","legext",87.5
"FP1","male","excl","post","single","R","legpress",180
"FP1","male","excl","post","multiple","L","legpress",190
"FP1","male","excl","post","single","R","legext",85
"FP1","male","excl","post","multiple","L","legext",100
"FP16","female","incl","pre","single","R","legpress",85
"FP16","female","incl","pre","multiple","L","legpress",80
"FP16","female","incl","pre","single","R","legext",35
"FP16","female","incl","pre","multiple","L","legext",30
"FP16","female","incl","session1","single","R","legpress",95
"FP16","female","incl","session1","multiple","L","legpress",85
"FP16","female","incl","session1","single","R","legext",35
"FP16","female","incl","session1","multiple","L","legext",30
"FP16","female","incl","week2","single","R","legpress",140
"FP16","female","incl","week2","multiple","L","legpress",135
"FP16","female","incl","week2","single","R","legext",40
"FP16","female","incl","week2","multiple","L","legext",35
"FP16","female","incl","week5","single","R","legpress",150
"FP16","female","incl","week5","multiple","L","legpress",150
"FP16","female","incl","week5","single","R","legext",47.5
"FP16","female","incl","week5","multiple","L","legext",45
"FP16","female","incl","week9","single","R","legpress",150
"FP16","female","incl","week9","multiple","L","legpress",150
"FP16","female","incl","week9","single","R","legext",52.5
"FP16","female","incl","week9","multiple","L","legext",52.5
"FP16","female","incl","post","single","R","legpress",155
"FP16","female","incl","post","multiple","L","legpress",165
"FP16","female","incl","post","single","R","legext",70
"FP16","female","incl","post","multiple","L","legext",70
"FP17","male","incl","pre","multiple","R","legpress",280
"FP17","male","incl","pre","single","L","legpress",280
"FP17","male","incl","pre","multiple","R","legext",75
"FP17","male","incl","pre","single","L","legext",70
"FP17","male","incl","session1","multiple","R","legpress",295
"FP17","male","incl","session1","single","L","legpress",295
"FP17","male","incl","session1","multiple","R","legext",80
"FP17","male","incl","session1","single","L","legext",75
"FP17","male","incl","week2","multiple","R","legpress",305
"FP17","male","incl","week2","single","L","legpress",300
"FP17","male","incl","week2","multiple","R","legext",87.5
"FP17","male","incl","week2","single","L","legext",82.5
"FP17","male","incl","week5","multiple","R","legpress",335
"FP17","male","incl","week5","single","L","legpress",320
"FP17","male","incl","week5","multiple","R","legext",92.5
"FP17","male","incl","week5","single","L","legext",87.5
"FP17","male","incl","week9","multiple","R","legpress",335
"FP17","male","incl","week9","single","L","legpress",330
"FP17","male","incl","week9","multiple","R","legext",100
"FP17","male","incl","week9","single","L","legext",100
"FP17","male","incl","post","multiple","R","legpress",340
"FP17","male","incl","post","single","L","legpress",370
"FP17","male","incl","post","multiple","R","legext",102.5
"FP17","male","incl","post","single","L","legext",102.5
"FP12","female","incl","pre","multiple","R","legpress",200
"FP12","female","incl","pre","single","L","legpress",200
"FP12","female","incl","pre","multiple","R","legext",65
"FP12","female","incl","pre","single","L","legext",65
"FP12","female","incl","session1","multiple","R","legpress",220
"FP12","female","incl","session1","single","L","legpress",225
"FP12","female","incl","session1","multiple","R","legext",75
"FP12","female","incl","session1","single","L","legext",75
"FP12","female","incl","week2","multiple","R","legpress",230
"FP12","female","incl","week2","single","L","legpress",235
"FP12","female","incl","week2","multiple","R","legext",82.5
"FP12","female","incl","week2","single","L","legext",82.5
"FP12","female","incl","week5","multiple","R","legpress",242.5
"FP12","female","incl","week5","single","L","legpress",242.5
"FP12","female","incl","week5","multiple","R","legext",90
"FP12","female","incl","week5","single","L","legext",87.5
"FP12","female","incl","week9","multiple","R","legpress",245
"FP12","female","incl","week9","single","L","legpress",242.5
"FP12","female","incl","week9","multiple","R","legext",102.5
"FP12","female","incl","week9","single","L","legext",100
"FP12","female","incl","post","multiple","R","legpress",290
"FP12","female","incl","post","single","L","legpress",290
"FP12","female","incl","post","multiple","R","legext",112.5
"FP12","female","incl","post","single","L","legext",110
"FP11","male","incl","pre","multiple","R","legpress",170
"FP11","male","incl","pre","single","L","legpress",155
"FP11","male","incl","pre","multiple","R","legext",65
"FP11","male","incl","pre","single","L","legext",60
"FP11","male","incl","session1","multiple","R","legpress",210
"FP11","male","incl","session1","single","L","legpress",180
"FP11","male","incl","session1","multiple","R","legext",70
"FP11","male","incl","session1","single","L","legext",65
"FP11","male","incl","week2","multiple","R","legpress",270
"FP11","male","incl","week2","single","L","legpress",240
"FP11","male","incl","week2","multiple","R","legext",90
"FP11","male","incl","week2","single","L","legext",80
"FP11","male","incl","week5","multiple","R","legpress",305
"FP11","male","incl","week5","single","L","legpress",255
"FP11","male","incl","week5","multiple","R","legext",95
"FP11","male","incl","week5","single","L","legext",87.5
"FP11","male","incl","week9","multiple","R","legpress",310
"FP11","male","incl","week9","single","L","legpress",260
"FP11","male","incl","week9","multiple","R","legext",95
"FP11","male","incl","week9","single","L","legext",87.5
"FP11","male","incl","post","multiple","R","legpress",375
"FP11","male","incl","post","single","L","legpress",310
"FP11","male","incl","post","multiple","R","legext",102.5
"FP11","male","incl","post","single","L","legext",97.5
"FP9","male","incl","pre","multiple","R","legpress",155
"FP9","male","incl","pre","single","L","legpress",155
"FP9","male","incl","pre","multiple","R","legext",70
"FP9","male","incl","pre","single","L","legext",70
"FP9","male","incl","session1","multiple","R","legpress",170
"FP9","male","incl","session1","single","L","legpress",165
"FP9","male","incl","session1","multiple","R","legext",80
"FP9","male","incl","session1","single","L","legext",80
"FP9","male","incl","week2","multiple","R","legpress",210
"FP9","male","incl","week2","single","L","legpress",210
"FP9","male","incl","week2","multiple","R","legext",85
"FP9","male","incl","week2","single","L","legext",85
"FP9","male","incl","week5","multiple","R","legpress",230
"FP9","male","incl","week5","single","L","legpress",230
"FP9","male","incl","week5","multiple","R","legext",92.5
"FP9","male","incl","week5","single","L","legext",92.5
"FP9","male","incl","week9","multiple","R","legpress",240
"FP9","male","incl","week9","single","L","legpress",240
"FP9","male","incl","week9","multiple","R","legext",95
"FP9","male","incl","week9","single","L","legext",95
"FP9","male","incl","post","multiple","R","legpress",275
"FP9","male","incl","post","single","L","legpress",270
"FP9","male","incl","post","multiple","R","legext",100
"FP9","male","incl","post","single","L","legext",97.5
"FP14","female","incl","pre","multiple","R","legpress",70
"FP14","female","incl","pre","single","L","legpress",85
"FP14","female","incl","pre","multiple","R","legext",45
"FP14","female","incl","pre","single","L","legext",50
"FP14","female","incl","session1","multiple","R","legpress",77.5
"FP14","female","incl","session1","single","L","legpress",87.5
"FP14","female","incl","session1","multiple","R","legext",45
"FP14","female","incl","session1","single","L","legext",50
"FP14","female","incl","week2","multiple","R","legpress",170
"FP14","female","incl","week2","single","L","legpress",175
"FP14","female","incl","week2","multiple","R","legext",55
"FP14","female","incl","week2","single","L","legext",52.5
"FP14","female","incl","week5","multiple","R","legpress",175
"FP14","female","incl","week5","single","L","legpress",182.5
"FP14","female","incl","week5","multiple","R","legext",55
"FP14","female","incl","week5","single","L","legext",55
"FP14","female","incl","week9","multiple","R","legpress",185
"FP14","female","incl","week9","single","L","legpress",185
"FP14","female","incl","week9","multiple","R","legext",62.5
"FP14","female","incl","week9","single","L","legext",57.5
"FP14","female","incl","post","multiple","R","legpress",200
"FP14","female","incl","post","single","L","legpress",200
"FP14","female","incl","post","multiple","R","legext",65
"FP14","female","incl","post","single","L","legext",62.5
"FP4","female","excl","pre","multiple","R","legpress",135
"FP4","female","excl","pre","single","L","legpress",135
"FP4","female","excl","pre","multiple","R","legext",40
"FP4","female","excl","pre","single","L","legext",40
"FP4","female","excl","session1","multiple","R","legpress",170
"FP4","female","excl","session1","single","L","legpress",170
"FP4","female","excl","session1","multiple","R","legext",45
"FP4","female","excl","session1","single","L","legext",45
"FP4","female","excl","week2","multiple","R","legpress",215
"FP4","female","excl","week2","single","L","legpress",215
"FP4","female","excl","week2","multiple","R","legext",55
"FP4","female","excl","week2","single","L","legext",55
"FP4","female","excl","week5","multiple","R","legpress",220
"FP4","female","excl","week5","single","L","legpress",220
"FP4","female","excl","week5","multiple","R","legext",80
"FP4","female","excl","week5","single","L","legext",60
"FP4","female","excl","week9","multiple","R","legpress",270
"FP4","female","excl","week9","single","L","legpress",NA
"FP4","female","excl","week9","multiple","R","legext",80
"FP4","female","excl","week9","single","L","legext",NA
"FP4","female","excl","post","multiple","R","legpress",205
"FP4","female","excl","post","single","L","legpress",NA
"FP4","female","excl","post","multiple","R","legext",80
"FP4","female","excl","post","single","L","legext",NA
